iso,year,sector,carbon_pricing,length_sequence
ARE,1982.0,electricity_and_heat_production,0.0,0.0
ARE,1982.0,general,0.0,0.0
ARE,1982.0,transport,0.0,0.0
ARE,1982.0,buildings,0.0,0.0
ARE,1982.0,industry,0.0,0.0
ARE,1982.0,afolu,0.0,0.0
ARE,1983.0,electricity_and_heat_production,0.0,0.0
ARE,1983.0,general,0.0,0.0
ARE,1983.0,transport,0.0,0.0
ARE,1983.0,buildings,0.0,0.0
ARE,1983.0,industry,0.0,0.0
ARE,1983.0,afolu,0.0,0.0
ARE,1984.0,electricity_and_heat_production,0.0,0.0
ARE,1984.0,general,0.0,0.0
ARE,1984.0,transport,0.0,0.0
ARE,1984.0,buildings,0.0,0.0
ARE,1984.0,industry,0.0,0.0
ARE,1984.0,afolu,0.0,0.0
ARE,1985.0,electricity_and_heat_production,0.0,0.0
ARE,1985.0,general,0.0,0.0
ARE,1985.0,transport,0.0,0.0
ARE,1985.0,buildings,0.0,0.0
ARE,1985.0,industry,0.0,0.0
ARE,1985.0,afolu,0.0,0.0
ARE,1986.0,electricity_and_heat_production,0.0,0.0
ARE,1986.0,general,0.0,0.0
ARE,1986.0,transport,0.0,0.0
ARE,1986.0,buildings,0.0,0.0
ARE,1986.0,industry,0.0,0.0
ARE,1986.0,afolu,0.0,0.0
ARE,1987.0,electricity_and_heat_production,0.0,0.0
ARE,1987.0,general,0.0,0.0
ARE,1987.0,transport,0.0,0.0
ARE,1987.0,buildings,0.0,0.0
ARE,1987.0,industry,0.0,0.0
ARE,1987.0,afolu,0.0,0.0
ARE,1988.0,electricity_and_heat_production,0.0,0.0
ARE,1988.0,general,0.0,0.0
ARE,1988.0,transport,0.0,0.0
ARE,1988.0,buildings,0.0,0.0
ARE,1988.0,industry,0.0,0.0
ARE,1988.0,afolu,0.0,0.0
ARE,1989.0,electricity_and_heat_production,0.0,0.0
ARE,1989.0,general,0.0,0.0
ARE,1989.0,transport,0.0,0.0
ARE,1989.0,buildings,0.0,0.0
ARE,1989.0,industry,0.0,0.0
ARE,1989.0,afolu,0.0,0.0
ARE,1990.0,electricity_and_heat_production,0.0,0.0
ARE,1990.0,general,0.0,0.0
ARE,1990.0,transport,0.0,0.0
ARE,1990.0,buildings,0.0,0.0
ARE,1990.0,industry,0.0,0.0
ARE,1990.0,afolu,0.0,0.0
ARE,1991.0,electricity_and_heat_production,0.0,0.0
ARE,1991.0,general,0.0,0.0
ARE,1991.0,transport,0.0,0.0
ARE,1991.0,buildings,0.0,0.0
ARE,1991.0,industry,0.0,0.0
ARE,1991.0,afolu,0.0,0.0
ARE,1992.0,electricity_and_heat_production,0.0,0.0
ARE,1992.0,general,0.0,0.0
ARE,1992.0,transport,0.0,0.0
ARE,1992.0,buildings,0.0,0.0
ARE,1992.0,industry,0.0,0.0
ARE,1992.0,afolu,0.0,0.0
ARE,1993.0,electricity_and_heat_production,0.0,0.0
ARE,1993.0,general,0.0,0.0
ARE,1993.0,transport,0.0,0.0
ARE,1993.0,buildings,0.0,0.0
ARE,1993.0,industry,0.0,0.0
ARE,1993.0,afolu,0.0,0.0
ARE,1994.0,electricity_and_heat_production,0.0,0.0
ARE,1994.0,general,0.0,0.0
ARE,1994.0,transport,0.0,0.0
ARE,1994.0,buildings,0.0,0.0
ARE,1994.0,industry,0.0,0.0
ARE,1994.0,afolu,0.0,0.0
ARE,1995.0,electricity_and_heat_production,0.0,0.0
ARE,1995.0,general,0.0,0.0
ARE,1995.0,transport,0.0,0.0
ARE,1995.0,buildings,0.0,0.0
ARE,1995.0,industry,0.0,0.0
ARE,1995.0,afolu,0.0,0.0
ARE,1996.0,electricity_and_heat_production,0.0,0.0
ARE,1996.0,general,0.0,0.0
ARE,1996.0,transport,0.0,0.0
ARE,1996.0,buildings,0.0,0.0
ARE,1996.0,industry,0.0,0.0
ARE,1996.0,afolu,0.0,0.0
ARE,1997.0,electricity_and_heat_production,0.0,0.0
ARE,1997.0,general,0.0,0.0
ARE,1997.0,transport,0.0,0.0
ARE,1997.0,buildings,0.0,0.0
ARE,1997.0,industry,0.0,0.0
ARE,1997.0,afolu,0.0,0.0
ARE,1998.0,electricity_and_heat_production,0.0,0.0
ARE,1998.0,general,0.0,0.0
ARE,1998.0,transport,0.0,0.0
ARE,1998.0,buildings,0.0,0.0
ARE,1998.0,industry,0.0,0.0
ARE,1998.0,afolu,0.0,0.0
ARE,1999.0,electricity_and_heat_production,0.0,0.0
ARE,1999.0,general,0.0,0.0
ARE,1999.0,transport,0.0,0.0
ARE,1999.0,buildings,0.0,0.0
ARE,1999.0,industry,0.0,0.0
ARE,1999.0,afolu,0.0,0.0
ARE,2000.0,electricity_and_heat_production,0.0,0.0
ARE,2000.0,general,0.0,0.0
ARE,2000.0,transport,0.0,0.0
ARE,2000.0,buildings,0.0,0.0
ARE,2000.0,industry,0.0,0.0
ARE,2000.0,afolu,0.0,0.0
ARE,2001.0,electricity_and_heat_production,0.0,0.0
ARE,2001.0,general,0.0,0.0
ARE,2001.0,transport,0.0,0.0
ARE,2001.0,buildings,0.0,0.0
ARE,2001.0,industry,0.0,0.0
ARE,2001.0,afolu,0.0,0.0
ARE,2002.0,electricity_and_heat_production,0.0,0.0
ARE,2002.0,general,0.0,0.0
ARE,2002.0,transport,0.0,0.0
ARE,2002.0,buildings,0.0,0.0
ARE,2002.0,industry,0.0,1.0
ARE,2002.0,afolu,0.0,0.0
ARE,2003.0,electricity_and_heat_production,0.0,0.0
ARE,2003.0,general,0.0,0.0
ARE,2003.0,transport,0.0,0.0
ARE,2003.0,buildings,0.0,0.0
ARE,2003.0,industry,0.0,1.0
ARE,2003.0,afolu,0.0,0.0
ARE,2004.0,electricity_and_heat_production,0.0,3.0
ARE,2004.0,general,0.0,0.0
ARE,2004.0,transport,0.0,0.0
ARE,2004.0,buildings,0.0,0.0
ARE,2004.0,industry,0.0,1.0
ARE,2004.0,afolu,0.0,0.0
ARE,2005.0,electricity_and_heat_production,0.0,3.0
ARE,2005.0,general,0.0,0.0
ARE,2005.0,transport,0.0,0.0
ARE,2005.0,buildings,0.0,0.0
ARE,2005.0,industry,0.0,1.0
ARE,2005.0,afolu,0.0,0.0
ARE,2006.0,electricity_and_heat_production,0.0,4.0
ARE,2006.0,general,0.0,0.0
ARE,2006.0,transport,0.0,0.0
ARE,2006.0,buildings,0.0,1.0
ARE,2006.0,industry,0.0,1.0
ARE,2006.0,afolu,0.0,0.0
ARE,2007.0,electricity_and_heat_production,0.0,4.0
ARE,2007.0,general,0.0,0.0
ARE,2007.0,transport,0.0,0.0
ARE,2007.0,buildings,0.0,1.0
ARE,2007.0,industry,0.0,1.0
ARE,2007.0,afolu,0.0,0.0
ARE,2008.0,electricity_and_heat_production,0.0,4.0
ARE,2008.0,general,0.0,0.0
ARE,2008.0,transport,0.0,0.0
ARE,2008.0,buildings,0.0,2.0
ARE,2008.0,industry,0.0,1.0
ARE,2008.0,afolu,0.0,0.0
ARE,2009.0,electricity_and_heat_production,0.0,5.0
ARE,2009.0,general,0.0,0.0
ARE,2009.0,transport,0.0,0.0
ARE,2009.0,buildings,0.0,2.0
ARE,2009.0,industry,0.0,1.0
ARE,2009.0,afolu,0.0,0.0
ARE,2010.0,electricity_and_heat_production,0.0,5.0
ARE,2010.0,general,0.0,0.0
ARE,2010.0,transport,0.0,0.0
ARE,2010.0,buildings,0.0,2.0
ARE,2010.0,industry,0.0,1.0
ARE,2010.0,afolu,0.0,0.0
ARE,2011.0,electricity_and_heat_production,0.0,5.0
ARE,2011.0,general,0.0,0.0
ARE,2011.0,transport,0.0,2.0
ARE,2011.0,buildings,0.0,2.0
ARE,2011.0,industry,0.0,1.0
ARE,2011.0,afolu,0.0,0.0
ARE,2012.0,electricity_and_heat_production,0.0,6.0
ARE,2012.0,general,0.0,1.0
ARE,2012.0,transport,0.0,2.0
ARE,2012.0,buildings,0.0,3.0
ARE,2012.0,industry,0.0,2.0
ARE,2012.0,afolu,0.0,0.0
ARE,2013.0,electricity_and_heat_production,0.0,6.0
ARE,2013.0,general,0.0,1.0
ARE,2013.0,transport,0.0,2.0
ARE,2013.0,buildings,0.0,3.0
ARE,2013.0,industry,0.0,2.0
ARE,2013.0,afolu,0.0,0.0
ARE,2014.0,electricity_and_heat_production,0.0,6.0
ARE,2014.0,general,0.0,1.0
ARE,2014.0,transport,0.0,2.0
ARE,2014.0,buildings,0.0,3.0
ARE,2014.0,industry,0.0,2.0
ARE,2014.0,afolu,0.0,0.0
ARE,2015.0,electricity_and_heat_production,0.0,6.0
ARE,2015.0,general,0.0,1.0
ARE,2015.0,transport,0.0,2.0
ARE,2015.0,buildings,0.0,3.0
ARE,2015.0,industry,0.0,2.0
ARE,2015.0,afolu,0.0,0.0
ARE,2016.0,electricity_and_heat_production,0.0,6.0
ARE,2016.0,general,0.0,1.0
ARE,2016.0,transport,0.0,2.0
ARE,2016.0,buildings,0.0,3.0
ARE,2016.0,industry,0.0,2.0
ARE,2016.0,afolu,0.0,0.0
ARE,2017.0,electricity_and_heat_production,0.0,6.0
ARE,2017.0,general,0.0,1.0
ARE,2017.0,transport,0.0,2.0
ARE,2017.0,buildings,0.0,3.0
ARE,2017.0,industry,0.0,2.0
ARE,2017.0,afolu,0.0,0.0
ARE,2018.0,electricity_and_heat_production,0.0,6.0
ARE,2018.0,general,0.0,1.0
ARE,2018.0,transport,0.0,3.0
ARE,2018.0,buildings,0.0,3.0
ARE,2018.0,industry,0.0,2.0
ARE,2018.0,afolu,0.0,0.0
ARE,2019.0,electricity_and_heat_production,0.0,6.0
ARE,2019.0,general,0.0,1.0
ARE,2019.0,transport,0.0,3.0
ARE,2019.0,buildings,0.0,3.0
ARE,2019.0,industry,0.0,2.0
ARE,2019.0,afolu,0.0,0.0
ARE,2020.0,electricity_and_heat_production,0.0,6.0
ARE,2020.0,general,0.0,1.0
ARE,2020.0,transport,0.0,3.0
ARE,2020.0,buildings,0.0,3.0
ARE,2020.0,industry,0.0,2.0
ARE,2020.0,afolu,0.0,0.0
ARE,2021.0,electricity_and_heat_production,0.0,6.0
ARE,2021.0,general,0.0,1.0
ARE,2021.0,transport,0.0,3.0
ARE,2021.0,buildings,0.0,3.0
ARE,2021.0,industry,0.0,2.0
ARE,2021.0,afolu,0.0,0.0
ARG,1927.0,electricity_and_heat_production,0.0,0.0
ARG,1927.0,general,0.0,0.0
ARG,1927.0,transport,0.0,0.0
ARG,1927.0,buildings,0.0,0.0
ARG,1927.0,industry,0.0,0.0
ARG,1927.0,afolu,0.0,0.0
ARG,1941.0,electricity_and_heat_production,0.0,0.0
ARG,1941.0,general,0.0,0.0
ARG,1941.0,transport,0.0,0.0
ARG,1941.0,buildings,0.0,0.0
ARG,1941.0,industry,0.0,0.0
ARG,1941.0,afolu,0.0,0.0
ARG,1944.0,electricity_and_heat_production,0.0,0.0
ARG,1944.0,general,0.0,0.0
ARG,1944.0,transport,0.0,0.0
ARG,1944.0,buildings,0.0,0.0
ARG,1944.0,industry,0.0,0.0
ARG,1944.0,afolu,0.0,0.0
ARG,1954.0,electricity_and_heat_production,0.0,0.0
ARG,1954.0,general,0.0,0.0
ARG,1954.0,transport,0.0,0.0
ARG,1954.0,buildings,0.0,0.0
ARG,1954.0,industry,0.0,0.0
ARG,1954.0,afolu,0.0,0.0
ARG,1956.0,electricity_and_heat_production,0.0,0.0
ARG,1956.0,general,0.0,0.0
ARG,1956.0,transport,0.0,0.0
ARG,1956.0,buildings,0.0,0.0
ARG,1956.0,industry,0.0,0.0
ARG,1956.0,afolu,0.0,0.0
ARG,1964.0,electricity_and_heat_production,0.0,0.0
ARG,1964.0,general,0.0,0.0
ARG,1964.0,transport,0.0,0.0
ARG,1964.0,buildings,0.0,0.0
ARG,1964.0,industry,0.0,0.0
ARG,1964.0,afolu,0.0,0.0
ARG,1966.0,electricity_and_heat_production,0.0,0.0
ARG,1966.0,general,0.0,0.0
ARG,1966.0,transport,0.0,0.0
ARG,1966.0,buildings,0.0,0.0
ARG,1966.0,industry,0.0,0.0
ARG,1966.0,afolu,0.0,0.0
ARG,1970.0,electricity_and_heat_production,0.0,0.0
ARG,1970.0,general,0.0,0.0
ARG,1970.0,transport,0.0,0.0
ARG,1970.0,buildings,0.0,0.0
ARG,1970.0,industry,0.0,0.0
ARG,1970.0,afolu,0.0,0.0
ARG,1971.0,electricity_and_heat_production,0.0,0.0
ARG,1971.0,general,0.0,0.0
ARG,1971.0,transport,0.0,0.0
ARG,1971.0,buildings,0.0,0.0
ARG,1971.0,industry,0.0,0.0
ARG,1971.0,afolu,0.0,0.0
ARG,1974.0,electricity_and_heat_production,0.0,0.0
ARG,1974.0,general,0.0,0.0
ARG,1974.0,transport,0.0,0.0
ARG,1974.0,buildings,0.0,0.0
ARG,1974.0,industry,0.0,0.0
ARG,1974.0,afolu,0.0,0.0
ARG,1975.0,electricity_and_heat_production,0.0,0.0
ARG,1975.0,general,0.0,0.0
ARG,1975.0,transport,0.0,0.0
ARG,1975.0,buildings,0.0,0.0
ARG,1975.0,industry,0.0,0.0
ARG,1975.0,afolu,0.0,0.0
ARG,1976.0,electricity_and_heat_production,0.0,0.0
ARG,1976.0,general,0.0,0.0
ARG,1976.0,transport,0.0,0.0
ARG,1976.0,buildings,0.0,0.0
ARG,1976.0,industry,0.0,0.0
ARG,1976.0,afolu,0.0,0.0
ARG,1977.0,electricity_and_heat_production,0.0,0.0
ARG,1977.0,general,0.0,0.0
ARG,1977.0,transport,0.0,0.0
ARG,1977.0,buildings,0.0,0.0
ARG,1977.0,industry,0.0,0.0
ARG,1977.0,afolu,0.0,0.0
ARG,1978.0,electricity_and_heat_production,0.0,0.0
ARG,1978.0,general,0.0,0.0
ARG,1978.0,transport,0.0,0.0
ARG,1978.0,buildings,0.0,0.0
ARG,1978.0,industry,0.0,0.0
ARG,1978.0,afolu,0.0,0.0
ARG,1979.0,electricity_and_heat_production,0.0,0.0
ARG,1979.0,general,0.0,0.0
ARG,1979.0,transport,0.0,0.0
ARG,1979.0,buildings,0.0,0.0
ARG,1979.0,industry,0.0,0.0
ARG,1979.0,afolu,0.0,0.0
ARG,1980.0,electricity_and_heat_production,0.0,0.0
ARG,1980.0,general,0.0,0.0
ARG,1980.0,transport,0.0,0.0
ARG,1980.0,buildings,0.0,0.0
ARG,1980.0,industry,0.0,0.0
ARG,1980.0,afolu,0.0,0.0
ARG,1981.0,electricity_and_heat_production,0.0,0.0
ARG,1981.0,general,0.0,0.0
ARG,1981.0,transport,0.0,0.0
ARG,1981.0,buildings,0.0,0.0
ARG,1981.0,industry,0.0,0.0
ARG,1981.0,afolu,0.0,0.0
ARG,1982.0,electricity_and_heat_production,0.0,0.0
ARG,1982.0,general,0.0,0.0
ARG,1982.0,transport,0.0,0.0
ARG,1982.0,buildings,0.0,0.0
ARG,1982.0,industry,0.0,0.0
ARG,1982.0,afolu,0.0,0.0
ARG,1983.0,electricity_and_heat_production,0.0,0.0
ARG,1983.0,general,0.0,0.0
ARG,1983.0,transport,0.0,0.0
ARG,1983.0,buildings,0.0,0.0
ARG,1983.0,industry,0.0,0.0
ARG,1983.0,afolu,0.0,0.0
ARG,1984.0,electricity_and_heat_production,0.0,0.0
ARG,1984.0,general,0.0,0.0
ARG,1984.0,transport,0.0,0.0
ARG,1984.0,buildings,0.0,0.0
ARG,1984.0,industry,0.0,0.0
ARG,1984.0,afolu,0.0,0.0
ARG,1985.0,electricity_and_heat_production,0.0,0.0
ARG,1985.0,general,0.0,0.0
ARG,1985.0,transport,0.0,0.0
ARG,1985.0,buildings,0.0,0.0
ARG,1985.0,industry,0.0,0.0
ARG,1985.0,afolu,0.0,0.0
ARG,1986.0,electricity_and_heat_production,0.0,0.0
ARG,1986.0,general,0.0,0.0
ARG,1986.0,transport,0.0,0.0
ARG,1986.0,buildings,0.0,0.0
ARG,1986.0,industry,0.0,0.0
ARG,1986.0,afolu,0.0,0.0
ARG,1987.0,electricity_and_heat_production,0.0,0.0
ARG,1987.0,general,0.0,0.0
ARG,1987.0,transport,0.0,0.0
ARG,1987.0,buildings,0.0,0.0
ARG,1987.0,industry,0.0,0.0
ARG,1987.0,afolu,0.0,0.0
ARG,1988.0,electricity_and_heat_production,0.0,0.0
ARG,1988.0,general,0.0,0.0
ARG,1988.0,transport,0.0,0.0
ARG,1988.0,buildings,0.0,0.0
ARG,1988.0,industry,0.0,0.0
ARG,1988.0,afolu,0.0,0.0
ARG,1989.0,electricity_and_heat_production,0.0,0.0
ARG,1989.0,general,0.0,0.0
ARG,1989.0,transport,0.0,0.0
ARG,1989.0,buildings,0.0,0.0
ARG,1989.0,industry,0.0,0.0
ARG,1989.0,afolu,0.0,0.0
ARG,1990.0,electricity_and_heat_production,0.0,0.0
ARG,1990.0,general,0.0,0.0
ARG,1990.0,transport,0.0,0.0
ARG,1990.0,buildings,0.0,0.0
ARG,1990.0,industry,0.0,0.0
ARG,1990.0,afolu,0.0,0.0
ARG,1991.0,electricity_and_heat_production,0.0,0.0
ARG,1991.0,general,0.0,0.0
ARG,1991.0,transport,0.0,0.0
ARG,1991.0,buildings,0.0,0.0
ARG,1991.0,industry,0.0,0.0
ARG,1991.0,afolu,0.0,0.0
ARG,1992.0,electricity_and_heat_production,0.0,0.0
ARG,1992.0,general,0.0,0.0
ARG,1992.0,transport,0.0,0.0
ARG,1992.0,buildings,0.0,0.0
ARG,1992.0,industry,0.0,0.0
ARG,1992.0,afolu,0.0,0.0
ARG,1993.0,electricity_and_heat_production,0.0,0.0
ARG,1993.0,general,0.0,0.0
ARG,1993.0,transport,0.0,0.0
ARG,1993.0,buildings,0.0,0.0
ARG,1993.0,industry,0.0,0.0
ARG,1993.0,afolu,0.0,0.0
ARG,1994.0,electricity_and_heat_production,0.0,0.0
ARG,1994.0,general,0.0,0.0
ARG,1994.0,transport,0.0,0.0
ARG,1994.0,buildings,0.0,0.0
ARG,1994.0,industry,0.0,0.0
ARG,1994.0,afolu,0.0,0.0
ARG,1995.0,electricity_and_heat_production,0.0,0.0
ARG,1995.0,general,0.0,0.0
ARG,1995.0,transport,0.0,0.0
ARG,1995.0,buildings,0.0,0.0
ARG,1995.0,industry,0.0,0.0
ARG,1995.0,afolu,0.0,0.0
ARG,1996.0,electricity_and_heat_production,0.0,0.0
ARG,1996.0,general,0.0,0.0
ARG,1996.0,transport,0.0,0.0
ARG,1996.0,buildings,0.0,0.0
ARG,1996.0,industry,0.0,0.0
ARG,1996.0,afolu,0.0,0.0
ARG,1997.0,electricity_and_heat_production,0.0,1.0
ARG,1997.0,general,0.0,0.0
ARG,1997.0,transport,0.0,0.0
ARG,1997.0,buildings,0.0,0.0
ARG,1997.0,industry,0.0,0.0
ARG,1997.0,afolu,0.0,0.0
ARG,1998.0,electricity_and_heat_production,0.0,3.0
ARG,1998.0,general,0.0,0.0
ARG,1998.0,transport,0.0,0.0
ARG,1998.0,buildings,0.0,0.0
ARG,1998.0,industry,0.0,0.0
ARG,1998.0,afolu,0.0,0.0
ARG,1999.0,electricity_and_heat_production,0.0,3.0
ARG,1999.0,general,0.0,0.0
ARG,1999.0,transport,0.0,0.0
ARG,1999.0,buildings,0.0,0.0
ARG,1999.0,industry,0.0,0.0
ARG,1999.0,afolu,0.0,1.0
ARG,2000.0,electricity_and_heat_production,0.0,3.0
ARG,2000.0,general,0.0,0.0
ARG,2000.0,transport,0.0,0.0
ARG,2000.0,buildings,0.0,0.0
ARG,2000.0,industry,0.0,0.0
ARG,2000.0,afolu,0.0,1.0
ARG,2001.0,electricity_and_heat_production,0.0,4.0
ARG,2001.0,general,0.0,0.0
ARG,2001.0,transport,0.0,1.0
ARG,2001.0,buildings,0.0,0.0
ARG,2001.0,industry,0.0,0.0
ARG,2001.0,afolu,0.0,1.0
ARG,2002.0,electricity_and_heat_production,0.0,4.0
ARG,2002.0,general,0.0,2.0
ARG,2002.0,transport,0.0,1.0
ARG,2002.0,buildings,0.0,0.0
ARG,2002.0,industry,0.0,0.0
ARG,2002.0,afolu,0.0,1.0
ARG,2003.0,electricity_and_heat_production,0.0,4.0
ARG,2003.0,general,0.0,2.0
ARG,2003.0,transport,0.0,1.0
ARG,2003.0,buildings,0.0,0.0
ARG,2003.0,industry,0.0,0.0
ARG,2003.0,afolu,0.0,1.0
ARG,2004.0,electricity_and_heat_production,0.0,4.0
ARG,2004.0,general,0.0,2.0
ARG,2004.0,transport,0.0,1.0
ARG,2004.0,buildings,0.0,0.0
ARG,2004.0,industry,0.0,0.0
ARG,2004.0,afolu,0.0,1.0
ARG,2005.0,electricity_and_heat_production,0.0,5.0
ARG,2005.0,general,0.0,3.0
ARG,2005.0,transport,0.0,1.0
ARG,2005.0,buildings,0.0,0.0
ARG,2005.0,industry,0.0,0.0
ARG,2005.0,afolu,0.0,1.0
ARG,2006.0,electricity_and_heat_production,0.0,6.0
ARG,2006.0,general,0.0,3.0
ARG,2006.0,transport,0.0,5.0
ARG,2006.0,buildings,0.0,0.0
ARG,2006.0,industry,0.0,0.0
ARG,2006.0,afolu,0.0,1.0
ARG,2007.0,electricity_and_heat_production,0.0,6.0
ARG,2007.0,general,0.0,3.0
ARG,2007.0,transport,0.0,5.0
ARG,2007.0,buildings,0.0,1.0
ARG,2007.0,industry,0.0,1.0
ARG,2007.0,afolu,0.0,1.0
ARG,2008.0,electricity_and_heat_production,0.0,6.0
ARG,2008.0,general,0.0,3.0
ARG,2008.0,transport,0.0,5.0
ARG,2008.0,buildings,0.0,1.0
ARG,2008.0,industry,0.0,1.0
ARG,2008.0,afolu,0.0,1.0
ARG,2009.0,electricity_and_heat_production,0.0,6.0
ARG,2009.0,general,0.0,3.0
ARG,2009.0,transport,0.0,5.0
ARG,2009.0,buildings,0.0,1.0
ARG,2009.0,industry,0.0,2.0
ARG,2009.0,afolu,0.0,2.0
ARG,2010.0,electricity_and_heat_production,0.0,6.0
ARG,2010.0,general,0.0,3.0
ARG,2010.0,transport,0.0,5.0
ARG,2010.0,buildings,0.0,2.0
ARG,2010.0,industry,0.0,2.0
ARG,2010.0,afolu,0.0,3.0
ARG,2011.0,electricity_and_heat_production,0.0,6.0
ARG,2011.0,general,0.0,3.0
ARG,2011.0,transport,0.0,5.0
ARG,2011.0,buildings,0.0,2.0
ARG,2011.0,industry,0.0,2.0
ARG,2011.0,afolu,0.0,3.0
ARG,2012.0,electricity_and_heat_production,0.0,6.0
ARG,2012.0,general,0.0,3.0
ARG,2012.0,transport,0.0,5.0
ARG,2012.0,buildings,0.0,2.0
ARG,2012.0,industry,0.0,2.0
ARG,2012.0,afolu,0.0,3.0
ARG,2013.0,electricity_and_heat_production,0.0,6.0
ARG,2013.0,general,0.0,4.0
ARG,2013.0,transport,0.0,5.0
ARG,2013.0,buildings,0.0,2.0
ARG,2013.0,industry,0.0,2.0
ARG,2013.0,afolu,0.0,3.0
ARG,2014.0,electricity_and_heat_production,0.0,6.0
ARG,2014.0,general,0.0,4.0
ARG,2014.0,transport,0.0,5.0
ARG,2014.0,buildings,0.0,2.0
ARG,2014.0,industry,0.0,2.0
ARG,2014.0,afolu,0.0,3.0
ARG,2015.0,electricity_and_heat_production,0.0,6.0
ARG,2015.0,general,0.0,4.0
ARG,2015.0,transport,0.0,6.0
ARG,2015.0,buildings,0.0,2.0
ARG,2015.0,industry,0.0,2.0
ARG,2015.0,afolu,0.0,5.0
