iso,sector,carbon_pricing,grants_and_subsidies,information_and_education,policy_support,procurement_and_investment,regulatory_instruments,research_development_and_deployment,voluntary_approaches
ESP,general,,4.0,5.0,1.0,6.0,4.0,2.0,3.0
ESP,industry,5.0,4.0,2.0,3.0,6.0,2.0,,1.0
ESP,transport,5.0,1.0,3.0,2.0,4.0,2.0,2.0,6.0
FRA,afolu,5.0,4.0,2.0,2.0,,1.0,,3.0
FRA,buildings,,1.0,2.0,2.0,3.0,1.0,3.0,2.0
FRA,electricity_and_heat_production,5.0,2.0,1.0,2.0,4.0,3.0,3.0,3.0
FRA,general,,4.0,2.0,1.0,6.0,4.0,3.0,5.0
FRA,industry,5.0,2.0,1.0,3.0,6.0,1.0,4.0,1.0
FRA,transport,4.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0
GBR,afolu,,3.0,2.0,2.0,,1.0,,4.0
GBR,buildings,,2.0,1.0,3.0,5.0,1.0,5.0,4.0
GBR,electricity_and_heat_production,5.0,2.0,3.0,2.0,4.0,1.0,2.0,3.0
GBR,general,,3.0,2.0,1.0,5.0,3.0,4.0,5.0
GBR,industry,4.0,1.0,3.0,2.0,4.0,1.0,,4.0
GBR,transport,6.0,1.0,2.0,1.0,5.0,3.0,3.0,4.0
IDN,afolu,,3.0,3.0,2.0,,1.0,,
IDN,buildings,,2.0,1.0,,2.0,1.0,,
IDN,electricity_and_heat_production,,1.0,5.0,2.0,4.0,3.0,,
IDN,general,,3.0,,1.0,,2.0,3.0,
IDN,industry,,4.0,3.0,2.0,,1.0,,
IDN,transport,,1.0,4.0,2.0,3.0,2.0,4.0,
IND,afolu,,3.0,5.0,1.0,4.0,2.0,5.0,
IND,buildings,,5.0,3.0,2.0,4.0,1.0,6.0,
IND,electricity_and_heat_production,,1.0,4.0,1.0,3.0,2.0,3.0,
IND,general,,,,1.0,,,2.0,
IND,industry,,3.0,1.0,2.0,,1.0,4.0,4.0
IND,transport,,1.0,3.0,2.0,2.0,1.0,4.0,
IRN,afolu,,,,,,,,
IRN,buildings,,,,,,,,
IRN,electricity_and_heat_production,,2.0,3.0,1.0,3.0,3.0,3.0,3.0
IRN,general,,1.0,2.0,2.0,,2.0,,
IRN,industry,,,,,,,,
IRN,transport,,,,,,,,
IRQ,afolu,,,,,,,,
IRQ,buildings,,,,,,,,
IRQ,electricity_and_heat_production,,1.0,,1.0,,,,
IRQ,general,,,,1.0,,,,
IRQ,industry,,,,,,,,
IRQ,transport,,,,,,,,
ITA,afolu,,3.0,2.0,2.0,,1.0,,4.0
ITA,buildings,,2.0,3.0,3.0,4.0,1.0,5.0,5.0
ITA,electricity_and_heat_production,5.0,1.0,2.0,2.0,4.0,2.0,3.0,3.0
ITA,general,,2.0,6.0,1.0,3.0,4.0,5.0,6.0
ITA,industry,5.0,3.0,4.0,2.0,5.0,1.0,5.0,5.0
ITA,transport,5.0,1.0,4.0,2.0,3.0,3.0,3.0,4.0
JPN,afolu,,3.0,,1.0,,1.0,2.0,
JPN,buildings,7.0,3.0,1.0,5.0,6.0,2.0,2.0,4.0
JPN,electricity_and_heat_production,5.0,1.0,1.0,3.0,4.0,2.0,2.0,3.0
JPN,general,,5.0,3.0,1.0,5.0,2.0,4.0,
JPN,industry,5.0,1.0,2.0,4.0,,3.0,4.0,2.0
JPN,transport,6.0,4.0,1.0,2.0,3.0,1.0,5.0,
KAZ,afolu,1.0,,,,,,,
KAZ,buildings,,,,,,,,
KAZ,electricity_and_heat_production,3.0,2.0,,1.0,3.0,3.0,,
KAZ,general,,2.0,,1.0,,,,
KAZ,industry,1.0,1.0,,1.0,,,,
KAZ,transport,1.0,,,,,,,
KOR,afolu,3.0,1.0,,2.0,,3.0,,3.0
KOR,buildings,7.0,1.0,2.0,4.0,6.0,3.0,7.0,5.0
KOR,electricity_and_heat_production,7.0,4.0,1.0,2.0,5.0,3.0,4.0,6.0
KOR,general,,3.0,2.0,1.0,3.0,1.0,,3.0
KOR,industry,7.0,2.0,3.0,1.0,6.0,1.0,5.0,4.0
KOR,transport,6.0,1.0,3.0,2.0,5.0,4.0,3.0,4.0
KWT,afolu,,,,,,,,
KWT,buildings,,,,1.0,,1.0,1.0,
KWT,electricity_and_heat_production,,,1.0,2.0,,,1.0,3.0
KWT,general,,,,1.0,,,,
KWT,industry,,,,,,,,
KWT,transport,,,,,,,1.0,
MEX,afolu,5.0,3.0,2.0,1.0,5.0,4.0,5.0,
MEX,buildings,6.0,1.0,2.0,4.0,5.0,3.0,6.0,
MEX,electricity_and_heat_production,5.0,1.0,4.0,2.0,3.0,1.0,6.0,
MEX,general,,2.0,,1.0,3.0,4.0,3.0,
MEX,industry,3.0,2.0,,1.0,4.0,2.0,4.0,4.0
MEX,transport,5.0,2.0,5.0,1.0,3.0,1.0,4.0,
MYS,afolu,,,,1.0,,,,
MYS,buildings,,,,,,1.0,,
MYS,electricity_and_heat_production,,4.0,,2.0,,1.0,3.0,
MYS,general,,,,1.0,,,2.0,
MYS,industry,,,,1.0,,1.0,1.0,
MYS,transport,,,,1.0,,1.0,1.0,
PAK,afolu,,,,,,1.0,,
PAK,buildings,,,,,,,,
PAK,electricity_and_heat_production,,2.0,4.0,3.0,,1.0,,
PAK,general,,,,1.0,,,,
PAK,industry,,,,,,,,
PAK,transport,,,,,,1.0,,
RUS,afolu,,1.0,,1.0,,,,
RUS,buildings,,3.0,1.0,2.0,,1.0,,4.0
RUS,electricity_and_heat_production,,2.0,4.0,1.0,4.0,3.0,5.0,
RUS,general,,2.0,2.0,1.0,,2.0,2.0,
RUS,industry,,4.0,3.0,2.0,5.0,1.0,,5.0
RUS,transport,,1.0,,2.0,,3.0,,
SAU,afolu,,2.0,,1.0,,,,
SAU,buildings,,3.0,2.0,1.0,,1.0,,
SAU,electricity_and_heat_production,,1.0,1.0,1.0,,2.0,1.0,
SAU,general,,,,1.0,,,,
SAU,industry,,1.0,2.0,2.0,,2.0,,
SAU,transport,,2.0,,1.0,1.0,2.0,,
THA,afolu,,2.0,,1.0,,1.0,,
THA,buildings,,4.0,4.0,3.0,,1.0,2.0,4.0
THA,electricity_and_heat_production,,3.0,,1.0,,4.0,2.0,
THA,general,,,,1.0,,,2.0,
THA,industry,,1.0,3.0,2.0,,3.0,3.0,3.0
THA,transport,,2.0,,1.0,,4.0,3.0,
TUR,afolu,,3.0,4.0,2.0,,1.0,,
TUR,buildings,,5.0,2.0,3.0,4.0,1.0,5.0,5.0
TUR,electricity_and_heat_production,,3.0,4.0,1.0,5.0,2.0,3.0,5.0
TUR,general,,,3.0,1.0,,3.0,2.0,
TUR,industry,,2.0,1.0,1.0,4.0,1.0,4.0,3.0
TUR,transport,,3.0,1.0,2.0,4.0,2.0,,5.0
UKR,afolu,,1.0,,1.0,,,,
UKR,buildings,4.0,2.0,3.0,4.0,4.0,1.0,,
UKR,electricity_and_heat_production,2.0,1.0,2.0,1.0,,1.0,2.0,
UKR,general,,2.0,,1.0,,2.0,,
UKR,industry,2.0,1.0,,1.0,,2.0,2.0,
UKR,transport,,1.0,3.0,2.0,3.0,3.0,3.0,
USA,afolu,,5.0,1.0,6.0,6.0,3.0,4.0,2.0
USA,buildings,,1.0,1.0,5.0,2.0,4.0,4.0,3.0
USA,electricity_and_heat_production,,4.0,3.0,3.0,5.0,1.0,2.0,5.0
USA,general,,4.0,1.0,2.0,6.0,1.0,3.0,5.0
USA,industry,,5.0,1.0,6.0,7.0,2.0,4.0,3.0
USA,transport,,2.0,3.0,6.0,5.0,1.0,5.0,4.0
UZB,afolu,,,,,,,,
UZB,buildings,,2.0,,2.0,,1.0,,
UZB,electricity_and_heat_production,,2.0,,1.0,,1.0,,
UZB,general,,,2.0,1.0,,,2.0,
UZB,industry,,,,2.0,,1.0,,
UZB,transport,,,,,,1.0,,
VEN,afolu,,,,,,,,
VEN,buildings,,,,,,,,
VEN,electricity_and_heat_production,,1.0,,,2.0,,,
VEN,general,,,,1.0,,,,
VEN,industry,,1.0,,,,,,
VEN,transport,,,,1.0,,,,
VNM,afolu,,1.0,2.0,1.0,,2.0,1.0,
VNM,buildings,,2.0,1.0,2.0,,1.0,2.0,
VNM,electricity_and_heat_production,,2.0,2.0,1.0,,1.0,2.0,
VNM,general,,4.0,1.0,1.0,,3.0,2.0,
VNM,industry,,2.0,1.0,2.0,,1.0,3.0,
VNM,transport,,1.0,1.0,2.0,,1.0,1.0,
ZAF,afolu,3.0,1.0,,2.0,,2.0,,
ZAF,buildings,4.0,1.0,2.0,,4.0,3.0,,4.0
ZAF,electricity_and_heat_production,5.0,1.0,,2.0,3.0,4.0,5.0,5.0
ZAF,general,,2.0,2.0,1.0,,2.0,,
ZAF,industry,3.0,1.0,2.0,3.0,,3.0,,3.0
ZAF,transport,4.0,1.0,3.0,2.0,,,,
